MP,Party,Seat,2nd home allowance,London supplement,Office,Staffing,Central stationery,Stationery & postage,IT provision,Staff cover,Communications,Travel,Total
"Abbott, Ms Diane",LAB,Hackney North & Stoke Newington,0,2812,20178,90325,1521,3906,1351,1905,7948,1789,131735
"Adams, Mr Gerry",SF,West Belfast,21131,0,21273,90278,85,218,1329,0,0,3629,137943
"Afriyie, Adam",CON,Windsor,0,0,17297,83261,534,2270,1290,0,0,0,104652
"Ainger, Nick",LAB,Carmarthen West & Pembrokeshire South,15385,0,11863,98205,589,1760,1167,0,10597,6964,146530
"Ainsworth, Mr Peter",CON,Surrey East,12363,0,14168,94230,632,1753,1183,0,8244,5842,138415
"Ainsworth, Rt Hon Bob",LAB,Coventry North East,23083,0,19724,79747,426,978,1312,0,5547,3698,134515
"Alexander, Danny",LD,"Inverness, Nairn, Badenoch  and Strathspey  ",23083,0,20971,81712,950,2548,1002,0,11798,26414,168478
"Alexander, Rt Hon Douglas",LAB,Paisley & Renfrewshire South,17169,0,17335,66668,2141,4619,1396,0,6854,17945,134127
"Allen, Mr Graham",LAB,Nottingham North,22945,0,19608,85944,1446,5462,1291,0,16291,18211,171198
"Amess, Mr David",CON,Southend West,23063,0,19777,79624,782,2595,1293,0,2820,7794,137748
"Ancram, Rt Hon Michael",CON,Devizes,15756,0,10984,95089,534,1773,1192,0,1333,9034,135695
"Anderson, Janet",LAB,Rossendale & Darwen,23039,0,29281,82300,1367,5404,1270,0,9930,20965,173556
"Anderson, Mr David",LAB,Blaydon,21652,0,15305,90494,78,0,1168,7752,6737,13908,157094
"Arbuthnot, Rt Hon James",CON,Hampshire North East,23083,0,17170,84145,568,1838,1430,0,12792,5166,146192
"Armstrong, Rt Hon Hilary",LAB,Durham North West,11712,0,18621,75592,719,1418,1275,602,7583,20114,137636
"Atkins, Charlotte",LAB,Staffordshire Moorlands,23083,0,21324,90504,1497,5501,1284,0,9996,11269,164458
"Atkinson, Mr Peter",CON,Hexham,23083,0,17811,87025,416,2119,1119,0,4871,13926,150370
"Austin, John",LAB,Erith & Thamesmead,23083,0,14363,96202,937,2454,1066,0,5486,1694,145285
"Austin, Mr Ian",LAB,Dudley North,21925,0,19086,88703,1596,5400,1292,0,9503,7658,155163
"Bacon, Mr Richard",CON,Norfolk South,20888,0,21477,90163,641,2500,1055,0,3038,7736,147498
"Bailey, Mr Adrian",LAB,West Bromwich West,22862,0,16277,95548,540,1456,1125,2075,6618,6396,152897
"Baird, Vera QC",LAB,Redcar,19728,0,17355,94488,577,1560,1258,0,5109,11900,151975
"Baker, Norman",LD,Lewes,21862,0,24993,84032,1324,3913,1073,358,9488,5169,152212
"Baldry, Tony",CON,Banbury,23083,0,11124,87509,784,2205,1159,0,16129,5151,147144
"Balls, Rt Hon Ed",LAB,Normanton,12219,0,21429,90414,2126,4470,1071,0,9312,14485,155526
"Banks, Gordon",LAB,Ochil and South Perthshire,23083,0,23778,87744,892,2460,1079,0,10276,21794,171106
"Barker, Gregory",CON,Bexhill & Battle,21700,0,25056,92391,1024,4047,1262,0,8733,6417,160630
"Barlow, Ms Celia",LAB,Hove,0,0,22664,86070,692,2767,1071,0,13109,7936,134309
"Baron, Mr John",CON,Billericay,23083,0,13167,98653,1297,5355,1375,0,9909,3418,156257
"Barrett, John",LD,Edinburgh West,22663,0,21833,81275,1195,1992,1211,2016,9980,12276,154441
"Barron, Rt Hon Kevin",LAB,Rother Valley,23083,0,12160,98254,377,565,1089,0,8724,10532,154784
"Battle, Rt Hon John",LAB,Leeds West,18819,0,20622,90505,905,2071,1199,0,7363,14730,156214
"Bayley, Hugh",LAB,City of York,23083,0,20229,91614,1412,4117,1028,0,8364,13472,163319
"Beckett, Rt Hon Margaret",LAB,Derby South,16974,0,8066,107458,915,2382,686,0,525,200,137206
"Begg, Miss Anne",LAB,Aberdeen South,22116,0,23170,88673,1013,4376,1132,0,9652,16661,166793
"Beith, Rt Hon Sir Alan",LD,,17686,0,13491,85593,645,3040,1307,3719,12638,14444,152563
"Bell, Sir Stuart",LAB,Middlesbrough,22934,0,5086,77127,238,835,1061,0,5467,21185,133933
"Bellingham, Mr Henry",CON,Norfolk North West,22350,0,14424,85576,1257,4735,1378,0,3849,6790,140359
"Benn, Rt Hon Hilary",LAB,Leeds Central,11631,0,10661,64164,907,2218,1407,0,2839,10050,103877
"Benton, Mr Joe",LAB,Bootle,8363,0,8556,79667,426,1877,1076,0,0,12373,112338
"Benyon, Mr Richard",CON,Newbury,0,0,15501,75566,1189,3625,1269,0,6106,2472,105728
"Bercow, John",CON,Buckingham,23083,0,7006,55952,735,2115,1001,0,8144,5400,103436
"Beresford, Sir Paul",CON,Mole Valley,3521,0,15889,86294,228,1328,1362,0,15598,5054,129274
"Berry, Dr Roger",LAB,Kingswood,20781,0,20940,87024,1244,2385,1275,0,8157,6993,148799
"Betts, Mr Clive",LAB,Sheffield Attercliffe,23081,0,17096,94748,1393,3542,1347,0,9999,12049,163255
"Binley, Mr Brian",CON,Northampton South,21700,0,13809,82725,894,1808,1037,0,15332,5801,143106
"Blackman, Liz",LAB,Erewash,22588,0,21153,89239,1524,5023,1176,1622,6389,5853,154567
"Blackman-Woods, Dr Roberta",LAB,City of Durham,23041,0,19063,84254,2251,2116,1124,0,11873,14414,158136
"Blair, Rt Hon Tony",LAB,Sedgefield,5772,0,2181,19188,0,0,1249,35022,0,652,64064
"Blears, Rt Hon Hazel",LAB,Salford,23083,0,18636,92407,912,3382,1297,0,8518,16556,164791
"Blizzard, Mr Bob",LAB,Waveney,23082,0,21080,90485,1112,3522,1000,1411,10268,5759,157719
